Брест,224000,Брестская область
Витебск,210000,Витебская область
Гомель,246000,Гомельская область
Барановичи,225320,Брестская область
Бешенковичи,211350,Витебская область
Брагин,247630,Гомельская область
Береза,225210,Брестская область
Браслав,211970,Витебская область
Буда-Кошелево,247350,Гомельская область
Ганцевичи,225440,Брестская область
Верхнедвинск,211620,Витебская область
Ветка,247120,Гомельская область
Дрогичин,225830,Брестская область
Глубокое,211800,Витебская область
Добруш,247050,Гомельская область
Жабинка,225110,Брестская область
Городок,211540,Витебская область
Ельск,247820,Гомельская область
Иваново,225800,Брестская область
Докшицы,211720,Витебская область
Житковичи,247960,Гомельская область
Ивацевичи,225250,Брестская область
Дубровно,211040,Витебская область
Жлобин,247210,Гомельская область
Каменец,225050,Брестская область
Лепель,211180,Витебская область
Калинковичи,247710,Гомельская область
Кобрин,225860,Брестская область
Лиозно,211200,Витебская область
Корма,247170,Гомельская область
Лунинец,225650,Брестская область
Миоры,211930,Витебская область
Лельчицы,247840,Гомельская область
Ляховичи,225370,Брестская область
Новополоцк,211440,Витебская область
Лоев,247100,Гомельская область
Малорита,225910,Брестская область
Орша,211030,Витебская область
Мозырь,247760,Гомельская область
Пинск,225710,Брестская область
Полоцк,211400,Витебская область
Наровля,247800,Гомельская область
Пружаны,225140,Брестская область
Поставы,211840,Витебская область
Октябрьский,247300,Гомельская область
Столин,225510,Брестская область
Россоны,211460,Витебская область
Петриков,247940,Гомельская область
Сенно,211120,Витебская область
Речица,247500,Гомельская область
Толочин,211070,Витебская область
Рогачев,247250,Гомельская область
Ушачи,211480,Витебская область
Светлогорск,247400,Гомельская область
Чашники,211150,Витебская область
Хойники,247600,Гомельская область
Шарковщина,211910,Витебская область
Чечерск,247150,Гомельская область
Шумилино,211260,Витебская область
Гродно,230000,Гродненская область
Минск,220000,Минская область
Могилев,212000,Могилевская область
Берестовица,231770,Гродненская область
Минский район,223010,Минская область
Белыничи,213160,Могилевская область
Волковыск,231900,Гродненская область
Березино,223310,Минская область
Бобруйск,213800,Могилевская область
Вороново,231370,Гродненская область
Борисов,222120,Минская область
Быхов,213320,Могилевская область
Дятлово,231460,Гродненская область
Вилейка,222410,Минская область
Глуск,213860,Могилевская область
Зельва,231930,Гродненская область
Воложин,222340,Минская область
Горки,213410,Могилевская область
Ивье,231330,Гродненская область
Дзержинск,222720,Минская область
Дрибин,213970,Могилевская область
Кореличи,231430,Гродненская область
Жодино,222160,Минская область
Кировск,213940,Могилевская область
Лида,231300,Гродненская область
Клецк,222640,Минская область
Климовичи,213600,Могилевская область
Мосты,231600,Гродненская область
Копыль,223910,Минская область
Кличев,213900,Могилевская область
Новогрудок,231400,Гродненская область
Крупки,222010,Минская область
Костюковичи,213640,Могилевская область
Островец,231210,Гродненская область
Логойск,223110,Минская область
Краснополье,213560,Могилевская область
Ошмяны,231100,Гродненская область
Любань,223810,Минская область
Кричев,213500,Могилевская область
Свислочь,231960,Гродненская область
Марьина Горка,222810,Минская область
Круглое,213180,Могилевская область
Слоним,231800,Гродненская область
Молодечно,222310,Минская область
Мстиславль,213470,Могилевская область
Сморгонь,231000,Гродненская область
Мядель,222380,Минская область
Осиповичи,213760,Могилевская область
Щучин,231510,Гродненская область
Несвиж,222620,Минская область
Славгород,213240,Могилевская область
Плещеницы,223130,Минская область
Хотимск,213660,Могилевская область
Пуховичи,222832,Минская область
Чаусы,213200,Могилевская область
Слуцк,223610,Минская область
Чериков,213530,Могилевская область
Смолевичи,222210,Минская область
Шклов,213010,Могилевская область
Солигорск,223710,Минская область
Старые Дороги,222910,Минская область
Столбцы,222660,Минская область
Узда,223400,Минская область
Червень,223210,Минская область
